PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L410,E1_250721_25...E012_sample_06,6661.360400736273,EM16223,1,2371,6323.89176630263
H9L410,E1_250721_25...E012_sample_12,6762.224526709144,EM16223,2,2280,6148.80990947922
H9L410,E1_250721_25...E012_sample_18,7708.918014945024,EM16223,3,2273,7352.08951325169
H9L410,E1_250721_25...E012_sample_24,6574.98216348956,EM16223,4,2338,6672.72449745378
H9L410,E1_250721_25...E012_sample_02,7397.526610320367,EM8513,1,2322,8116.57284486323
H9L410,E1_250721_25...E012_sample_08,6951.821456988819,EM8513,2,2341,7575.03531404693
H9L410,E1_250721_25...E012_sample_14,4222.162733508703,EM8513,3,2554,5059.14682016833
H9L410,E1_250721_25...E012_sample_20,16993.57766273255,EM8513,4,1764,17871.8453935524
H9L410,E1_250721_25...E012_sample_03,8507.040674023674,EM9660,1,2238,8622.73327761852
H9L410,E1_250721_25...E012_sample_09,9982.166857928469,EM9660,2,2132,10553.5422027142
H9L410,E1_250721_25...E012_sample_15,5840.370323129917,EM9660,3,2443,6197.64157881447
H9L410,E1_250721_25...E012_sample_21,7398.464550186028,EM9660,4,2338,8073.40440538357
H9L410,E1_250721_25...E012_sample_04,8258.19131664267,EM9661,1,2242,7766.97904766349
H9L410,E1_250721_25...E012_sample_10,6650.592212454655,EM9661,2,2301,6317.845859815
H9L410,E1_250721_25...E012_sample_16,9991.11671633221,EM9661,3,2097,9625.53321802475
H9L410,E1_250721_25...E012_sample_22,9064.01194785878,EM9661,4,2144,7966.67182344691
H9L410,E1_250721_25...E012_sample_05,8133.190350972739,EM9662,1,2168,7561.54401674215
H9L410,E1_250721_25...E012_sample_11,4482.575488362533,EM9662,2,2451,4305.32968502883
H9L410,E1_250721_25...E012_sample_17,7765.719247565642,EM9662,3,2199,7393.23819706492
H9L410,E1_250721_25...E012_sample_23,9760.48908092845,EM9662,4,2109,9111.15701373603
H9L410,E1_250721_25...E012_sample_01,5035.643667581986,TH9677,1,2405,5347.64914132021
H9L410,E1_250721_25...E012_sample_07,5517.244917444664,TH9677,2,2371,5376.27236359675
H9L410,E1_250721_25...E012_sample_13,6183.501295336607,TH9677,3,2398,6345.1280167778
H9L410,E1_250721_25...E012_sample_19,10920.349399400691,TH9677,4,2080,11281.6690840626
H9L419,E1_250721_25...E012_sample_06,39932.40756624264,EM16223,1,991,37909.4071218382
H9L419,E1_250721_25...E012_sample_12,41754.34064229344,EM16223,2,958,37966.7227095235
H9L419,E1_250721_25...E012_sample_18,29907.478380585337,EM16223,3,1237,28523.1283746207
H9L419,E1_250721_25...E012_sample_24,32016.306834211224,EM16223,4,1190,32492.254673624
H9L419,E1_250721_25...E012_sample_02,114330.74162807845,EM8513,1,451,125443.792461241
H9L419,E1_250721_25...E012_sample_08,107719.1806234337,EM8513,2,465,117375.94273259
