uniprot_id	protein	sector	sector_short
H9L427	Large ribosomal subunit assembly factor BipA	Translation and protein homeostasis	Rib
H9L478	Bacterial microcompartment shell protein PduJ	Other	Oth
O84947	SPI-2 type 3 secretion system translocon protein SctE	Flagellum and motility including its regulation	Fla
P0A1B9	SPI-1 type 3 secretion system ATPase	Flagellum and motility including its regulation	Fla
P0A1C7	Bacterial microcompartment shell protein PduA	Other	Oth
P0A1C9	Bacterial microcompartment shell protein EutL	Other	Oth
P0A1S2	DNA-binding protein H-NS	Other	Oth
P0A251	Alkyl hydroperoxide reductase C	Other	Oth
P0A2I3	DNA gyrase subunit B	Other	Oth
P0A2R8	Magnesium Transport protein CorA	Transport	Tra
P0CW86	Superoxide dismutase [Cu-Zn] 1	Other	Oth
P22036	Magnesium-Transporting ATPase, P-type 1	Transport	Tra
P26311	Peptidase T	Translation and protein homeostasis	Rib
P26353	Flavohemoprotein	Other	Oth
P26466	Maltoporin	Transport	Tra
P29768	Sialidase	Other	Oth
P30878	Melibiose permease	Transport	Tra
P37449	Bacterial microcompartment shell protein PduB	Other	Oth
P40193	Vitamin B6 salvage pathway transcriptional repressor PtsJ	Other	Oth
P40709	Inner membrane protein PbgA	Lipid and cell wall metabolism	Lpb
P40817	Diaminopropionate ammonia-lyase	Amino acid biosynthesis	Aab
P41791	Bacterial microcompartment shell protein EutM	Other	Oth
P41792	Bacterial microcompartment shell vertex protein EutN	Other	Oth
P51067	Isocitrate dehydrogenase kinase/phosphatase	Carbon metabolism	Cbn
P55880	Protein/nucleic acid deglycase YajL	Translation and protein homeostasis	Rib
Q7CP78	2-iminobutanoate/2-iminopropanoate deaminase	Amino acid biosynthesis	Aab
Q8ZL97	Antitoxin TacA 1	Other	Oth
Q8ZL98	tRNA-acetylating toxin 1	Translation and protein homeostasis	Rib
Q8ZMX2	Peptidyl-lysine N-acetyltransferase Pat	Translation and protein homeostasis	Rib
Q8ZNF5	Nucleoside triphosphatase NudI	Other	Oth
Q8ZNR3	E3 ubiquitin-protein ligase SopA	Translation and protein homeostasis	Rib
Q8ZNR5	Corrinoid adenosyltransferase PduO	Carbon metabolism	Cbn
Q8ZPA3	ABC Transporter D-alanine-binding periplasmic protein	Transport	Tra
Q8ZPD3	L-methionine sulfoximine acetyltransferase	Amino acid biosynthesis	Aab
Q8ZPS5	Protein nucleotidyltransferase YdiU	Translation and protein homeostasis	Rib
Q8ZPX9	Aminoglycoside adenylyltransferase	Other	Oth
Q8ZR88	tRNA 2-selenouridine synthase	Translation and protein homeostasis	Rib
Q8ZR95	Copper-exporting P-type ATPase	Transport	Tra
Q9EYX5	Zinc Transport protein ZntB	Transport	Tra
Q9XDM8	Bacterial microcompartment shell protein PduT	Other	Oth
Q9XDM9	Cobalamin reductase PduS	Carbon metabolism	Cbn
Q9ZFU8	Bacterial microcompartment shell protein EutK	Other	Oth
Q9ZFV5	Acetate kinase EutQ	Carbon metabolism	Cbn
Q9ZFV7	Bacterial microcompartment shell protein EutS	Other	Oth
Q9ZJ12	Elongation factor P--(R)-beta-lysine ligase	Translation and protein homeostasis	Rib
O31043	Propanediol dehydratase-reactivating factor large subunit	Carbon metabolism	Cbn
P02936	Outer membrane protein A	Lipid and cell wall metabolism	Lpb
P0A1D1	Bacterial microcompartment shell protein PduU	Other	Oth
P0A1G7	Chaperone protein DnaJ	Translation and protein homeostasis	Rib
P0A1X6	Methionine aminopeptidase	Translation and protein homeostasis	Rib
P0A208	Probable acetate kinase EutP	Carbon metabolism	Cbn
P0A281	Peptidyl-tRNA hydrolase	Translation and protein homeostasis	Rib
P0A2F0	ECF RNA polymerase sigma-E factor	Other	Oth
P0A2I1	DNA topoisomerase 1	Other	Oth
P0A2I5	DNA topoisomerase 4 subunit B	Other	Oth
P0A2P6	Tyrosine recombinase XerD	Other	Oth
P0A2T8	Fumarate and nitrate reduction regulatory protein	Electron Transport chain	Etc
P0DM81	RNA polymerase sigma factor RpoS	Other	Oth
P10502	Sodium/proline symporter	Transport	Tra
P19480	Alkyl hydroperoxide reductase subunit F	Other	Oth
P22038	tRNA/tmRNA (uracil-C(5))-methyltransferase	Translation and protein homeostasis	Rib
P25078	Deoxyribodipyrimidine photolyase	Other	Oth
P25945	Protein TonB	Transport	Tra
P26189	Regulatory protein ada	Other	Oth
P26973	DNA topoisomerase 4 subunit A	Other	Oth
P35672	SPI-1 type 3 secretion system secretin	Flagellum and motility including its regulation	Fla
P36640	Magnesium-Transporting ATPase, P-type 1	Transport	Tra
P37411	DNA gyrase subunit A	Other	Oth
P40676	Transcriptional regulator SlyA	Other	Oth
P40815	Type III restriction-modification enzyme StyLTI Res subunit	Other	Oth
P41780	FAD:protein FMN transferase	Other	Oth
P41796	Probable ethanolamine permease EutH	Transport	Tra
P58718	D-threonate 4-phosphate dehydrogenase	Carbon metabolism	Cbn
P60066	Arginine/agmatine antiporter	Transport	Tra
P63343	ATP-dependent zinc metalloprotease FtsH	Translation and protein homeostasis	Rib
P63462	FMN-dependent NADH:quinone oxidoreductase	Electron Transport chain	Etc
P65836	Ribosomal large subunit pseudouridine synthase D	Translation and protein homeostasis	Rib
Q00267	Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase	Other	Oth
Q08015	tRNA hydroxylase	Translation and protein homeostasis	Rib
Q7BVH7	Secreted effector protein SseB	Flagellum and motility including its regulation	Fla
Q7CPJ9	PanD regulatory factor	Other	Oth
Q7CQ01	Chaperone protein ClpB	Translation and protein homeostasis	Rib
Q7CQN4	Major outer membrane lipoprotein Lpp 1	Lipid and cell wall metabolism	Lpb
Q8ZKA7	NAD(P)H-hydrate repair enzyme	Other	Oth
Q8ZKR2	Aminoimidazole riboside kinase	Other	Oth
Q8ZKU8	Serine/threonine protein kinase RdoA	Other	Oth
Q8ZL64	AutoTransporter adhesin SadA	Flagellum and motility including its regulation	Fla
Q8ZLS5	GTPase Obg	Translation and protein homeostasis	Rib
Q8ZLY4	Multifunctional CCA protein	Translation and protein homeostasis	Rib
Q8ZM00	Probable HTH-type transcriptional regulator STM3175	Other	Oth
Q8ZM86	tRNA(fMet)-specific endonuclease VapC	Translation and protein homeostasis	Rib
Q8ZMH3	Serine/threonine-protein phosphatase 2	Other	Oth
Q8ZN52	Dual-specificity RNA methyltransferase RlmN	Translation and protein homeostasis	Rib
Q8ZNN5	Iron-sulfur cluster carrier protein	Electron Transport chain	Etc
Q8ZNP1	Probable lipid kinase YegS	Lipid and cell wall metabolism	Lpb
Q8ZNT5	Probable diguanylate cyclase DgcQ	Other	Oth
Q8ZNY9	Serine/threonine-protein phosphatase 1	Other	Oth
Q8ZP19	Flagellar brake protein YcgR	Flagellum and motility including its regulation	Fla
Q8ZP57	Secreted effector kinase SteC	Flagellum and motility including its regulation	Fla
Q8ZP88	tRNA-cytidine(32) 2-sulfurtransferase	Translation and protein homeostasis	Rib
Q8ZPP9	Major outer membrane lipoprotein Lpp 2	Lipid and cell wall metabolism	Lpb
Q8ZPS6	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZPU1	Chitooligosaccharide deacetylase	Lipid and cell wall metabolism	Lpb
Q8ZR43	Transcriptional regulator RamR	Other	Oth
Q8ZRC9	Cyclic di-GMP-binding protein YajQ	Other	Oth
Q8ZRP8	H(+)/Cl(-) exchange Transporter ClcA	Transport	Tra
Q8ZRS2	Multicopper oxidase CueO	Electron Transport chain	Etc
Q9R803	SPI-2 type 3 secretion system translocon protein SctB	Flagellum and motility including its regulation	Fla
Q9RCI2	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB	Translation and protein homeostasis	Rib
Q9XDN3	Bacterial microcompartment shell vertex protein PduN	Other	Oth
Q9XDN4	Bacterial microcompartment assembly protein PduM	Other	Oth
Q9XDN6	Bacterial microcompartment shell protein PduK	Other	Oth
H9L428	Ribokinase	Carbon metabolism	Cbn
H9L484	Transcriptional regulator RamA	Other	Oth
H9L4B6	Probable diguanylate cyclase DgcQ	Other	Oth
O30911	ATP-dependent protease HslU	Translation and protein homeostasis	Rib
O30917	Chaperone protein SigE	Other	Oth
O54453	5'-3' exoribonuclease Rnm	Other	Oth
O68446	HTH-type transcriptional repressor PurR	Other	Oth
O84944	Type III secretion system chaperone SseA	Flagellum and motility including its regulation	Fla
O87576	Apolipoprotein N-acyltransferase	Lipid and cell wall metabolism	Lpb
P03013	DNA-invertase hin	Other	Oth
P06187	Type I restriction enzyme StySJI specificity subunit	Other	Oth
P06614	HTH-type transcriptional regulator CysB	Other	Oth
P0A197	Probable protein kinase UbiB	Electron Transport chain	Etc
P0A1B3	Arginine repressor	Other	Oth
P0A1C5	Cell division protein FtsP	Lipid and cell wall metabolism	Lpb
P0A1D5	GroES	Translation and protein homeostasis	Rib
P0A1D7	ClpP	Translation and protein homeostasis	Rib
P0A1H5	Elongation factor Tu	Translation and protein homeostasis	Rib
P0A1H7	Biopolymer Transport protein ExbB	Transport	Tra
P0A1R6	DNA-binding protein HU-alpha	Other	Oth
P0A1R8	DNA-binding protein HU-beta	Other	Oth
P0A1S0	Integration host factor subunit alpha	Other	Oth
P0A1S4	DNA-binding protein StpA	Other	Oth
P0A1W4	Elongation factor 4 LepA	Translation and protein homeostasis	Rib
P0A1W8	Branched-chain amino acid permease BrnQ	Transport	Tra
P0A1Z2	Chaperone protein Skp	Translation and protein homeostasis	Rib
P0A206	Ethanolamine utilization protein EutJ	Carbon metabolism	Cbn
P0A237	Protein SirB2	Other	Oth
P0A271	ATP-dependent protease HslV	Translation and protein homeostasis	Rib
P0A273	LexA repressor	Other	Oth
P0A2C3	Ribonuclease PH	Translation and protein homeostasis	Rib
P0A2F8	Citrate/sodium symporter CitS	Transport	Tra
P0A2G1	SsrA-binding protein	Translation and protein homeostasis	Rib
P0A2G3	Citrate-proton symporter	Transport	Tra
P0A2N6	Cell division protein ZipA	Lipid and cell wall metabolism	Lpb
P0A2P8	Catabolite repressor/activator	Other	Oth
P0A2Q2	HTH-type transcriptional activator IlvY	Other	Oth
P0A2Q4	HTH-type transcriptional regulator MetR	Other	Oth
P0A2R0	Redox-sensitive transcriptional activator SoxR	Other	Oth
P0A2R6	tRNA-dihydrouridine synthase B	Translation and protein homeostasis	Rib
P0A2S0	Leucine-responsive regulatory protein	Other	Oth
P0A2S9	HTH-type transcriptional activator RhaS	Other	Oth
P0A2U0	Methylated-DNA--protein-cysteine methyltransferase	Other	Oth
P0A2U2	Ribosomal protein bS6--L-glutamate ligase	Translation and protein homeostasis	Rib
P0CI70	Protein MgtC	Other	Oth
P0CK99	Aromatic amino acid Transport protein AroP	Transport	Tra
P0CL03	AmpD amidase	Lipid and cell wall metabolism	Lpb
P0CL08	Transcriptional regulator HilD	Other	Oth
P0CL43	SPI-1 type 3 secretion system pilotin	Flagellum and motility including its regulation	Fla
P0CL45	SPI-1 type 3 secretion system stator protein	Flagellum and motility including its regulation	Fla
P0CZ04	Salmonella pathogenicity island 2 protein C	Flagellum and motility including its regulation	Fla
P13041	Virulence genes transcriptional activator	Other	Oth
P20751	Probable protein adenylyltransferase Fic	Other	Oth
P22493	Protein UmuD	Other	Oth
P23831	Protein SamA	Other	Oth
P24517	DNA repair protein RadA	Other	Oth
P26318	Transcriptional regulator FimY	Flagellum and motility including its regulation	Fla
P26401	Abequosyltransferase RfbV	Lipid and cell wall metabolism	Lpb
P26402	O-antigen chain mannosyltransferase RfbU	Lipid and cell wall metabolism	Lpb
P26403	O-antigen chain rhamnosyltransferase RfbN	Lipid and cell wall metabolism	Lpb
P26406	Undecaprenyl-phosphate galactose phosphotransferase	Lipid and cell wall metabolism	Lpb
P27236	Dipeptidyl carboxypeptidase	Lipid and cell wall metabolism	Lpb
P27237	Oligopeptidase A	Translation and protein homeostasis	Rib
P30705	Outer membrane porin PhoE	Transport	Tra
P36936	Peptidase E	Translation and protein homeostasis	Rib
P37169	Probable lipid II flippase MurJ	Lipid and cell wall metabolism	Lpb
P37409	Vitamin B12 Transporter BtuB	Transport	Tra
P37430	Transcription termination/antitermination protein NusA	Translation and protein homeostasis	Rib
P37451	Propanediol uptake facilitator PduF	Transport	Tra
P37462	Alkylated DNA repair protein AlkB	Other	Oth
P37921	Type-1 fimbrial protein, A chain	Flagellum and motility including its regulation	Fla
P37928	HTH-type transcriptional regulator FimW	Flagellum and motility including its regulation	Fla
P39434	Soluble lytic murein transglycosylase	Lipid and cell wall metabolism	Lpb
P40680	Probable L,D-transpeptidase ErfK/SrfK	Lipid and cell wall metabolism	Lpb
P40687	DNA topoisomerase 3	Other	Oth
P40731	tRNA threonylcarbamoyltransferase	Translation and protein homeostasis	Rib
P40813	Type I restriction enzyme StySJI methylase subunit	Other	Oth
