component,parameter,unit,value,reference,comments,
cell,density,aa / µm^3,8x10^9,Sharma & Steuer 2019 (PMID: 31690234),,
cell,length,µm,2-5,Andino & Hanning 2015 (PMID:25664339),,
cell,radius,µm,0.25-0.75,Andino & Hanning 2015 (PMID:25664339),,
cell,volume,µm^3,variable,no reference,calculated from length and radius of a cylindrical cell,
cell,surface,µm^2,variable,no reference,calculated from length and radius of a cylindrical cell,
cell,flagellar rotation frequency,s^-1,100,Magariyama et al. 2001 (PMID:11356579),average rotation frequency is around 100-200 per sec and flagellum,
cell,flagellar energy cost,ATP/rotation,250,Schavemaker & Lynch 2022 (PMID: 35881430); Wang et al. 2022 (PMID: 35699374); Reid et al. 2006 (PMID: 16698936),52 protons per stator (Wang) x 11 torque-generating stator units (Reid) per motor = 572 protons per rotation; 1200 protons per rotation (Schavemaker); corresponds to 172-360 ATP per rotation (3.3 protons/ATP),
cell,swimming speed,µm s^-1,30-50,Bionumbers ID: 106818; Harshey & Matsuyama 1994 (PMID: 8078935),,
cell,run-and-tumble efficiency (drift),dimensionless,0.01-0.05,Mattingly et al. 2021 (PMID:35035514),,
cell,optimal number of flagella for swimming,dimensionless,10,no reference (dummy variable),used as halfmaximal rate constant for swimming,
cell,diffusion model for glucose,mM,C(x;t) = C0 * erfc( x / (2 * sqrt(D * t)) ),Crank J. The Mathematics of Diffusion; Oxford University Press 1979, Section 2.4.2 page 21 'Semi-infinite diffusion model for a simple source boundary with constant concentration',
cell,diffusion coefficient for glucose,µm^2 s^-1,600,Bionumbers ID:104089,,
cell,initial concentration for glucose,mM,5.0,no reference,,
,,,,,,
Tra,kcat,molec/s,200-500,Bionumbers ID: 103693; 114686,typical turnover number for PTS transporters,
Cbn,kcat,molec/s,100-500,Bionumbers ID: 100996; 100997; 101029,rate limiting step of EMP glycolysis is phosphofructokinase (PFK); similar for pyruvate kinase (PYK) and hexokinase (200/s),
Etc,kcat,molec/s,100,Bionumbers ID: 111975,ATP synthase is assumed to be limiting step of ETC; data for resp. complexes are scarce,
Aab,kcat,molec/s,100,BRENDA: EC 6.3.1.2 / 2.6.1.1 / 1.4.1.1 / 1.1.1.3/ 1.4.1.14 / 2.1.2.1,estimation of average kcat for 20 AA biosynthesis pathways; faster enzymes: Glutamine synthetase: >100 s^-1 / aspartate aminotransferase: ~100-300 / Alanine dehydrogenase: ~100-200; slower enzymes: Homoserine dehydrogenase: ~10-20 / Glutamate synthase: ~10-50 s^-1 / Serine hydroxymethyltransferase: ~5-20 s^-1,
